Month ,Total Gross ,% Of Year ,Avg. ,Top Movie of the Month ,Gross ,% Of Total
6/1/2014,1043530000,10%,"$5,895,650 ",Maleficent,"$153,403,450 ",15%
7/1/2014,967690000,9%,"$5,498,239 ",Dawn of the Planet of the Apes,"$180,629,673 ",19%
8/1/2014,1018950000,10%,"$6,029,290 ",Guardians of the Galaxy,"$275,379,530 ",27%
9/1/2014,516120000,5%,"$2,593,568 ",The Maze Runner,"$60,175,930 ",12%
10/1/2014,758370000,7%,"$3,478,761 ",Gone Girl,"$129,599,665 ",17%
11/1/2014,965180000,9%,"$5,392,067 ",The Hunger Games: Mockingjay - Part 1,"$225,680,904 ",23%
12/1/2014,904360000,9%,"$5,652,250 ",The Hobbit: The Battle of the Five Armies,"$189,549,326 ",21%
1/1/2015,1003760000,9%,"$6,393,376 ",American Sniper,"$242,178,866 ",24%
2/1/2015,764720000,7%,"$4,998,170 ",Fifty Shades of Grey,"$145,024,880 ",19%
3/1/2015,703830000,6%,"$4,398,938 ",Cinderella (2015),"$153,247,557 ",22%
4/1/2015,777370000,7%,"$4,599,822 ",Furious 7,"$324,424,355 ",42%
5/1/2015,1073320000,10%,"$6,168,506 ",Avengers: Age of Ultron,"$427,551,427 ",40%
6/1/2015,1233980000,11%,"$8,065,229 ",Jurassic World,"$514,374,155 ",42%
7/1/2015,1182290000,11%,"$7,253,313 ",Minions,"$278,819,900 ",24%
8/1/2015,843860000,8%,"$5,209,012 ",Mission: Impossible - Rogue Nation,"$150,667,858 ",18%
9/1/2015,616750000,6%,"$3,426,389 ",Hotel Transylvania 2,"$55,753,944 ",9%
10/1/2015,718920000,6%,"$3,297,798 ",The Martian,"$179,446,657 ",25%
11/1/2015,891820000,8%,"$4,597,010 ",The Hunger Games: Mockingjay - Part 2,"$201,091,347 ",23%
12/1/2015,1306290000,12%,"$8,373,654 ",Star Wars: The Force Awakens,"$651,967,269 ",50%
1/1/2016,1036391000,9%,"$7,197,159 ",Star Wars: The Force Awakens,"$243,793,577 ",24%
2/1/2016,798998000,7%,"$5,089,159 ",Deadpool,"$287,585,111 ",36%
3/1/2016,948697000,8%,"$5,212,620 ",Zootopia,"$255,939,310 ",27%
4/1/2016,780201000,7%,"$3,843,354 ",The Jungle Book (2016),"$239,552,098 ",31%
5/1/2016,937100000,8%,"$4,593,627 ",Captain America: Civil War,"$379,029,062 ",40%
6/1/2016,1087202000,10%,"$5,408,965 ",Finding Dory,"$330,349,602 ",30%
7/1/2016,1371410000,12%,"$7,576,850 ",The Secret Life of Pets,"$296,882,885 ",22%
8/1/2016,1019639000,9%,"$4,902,110 ",Suicide Squad,"$286,417,209 ",28%
9/1/2016,588301000,5%,"$2,503,408 ",Sully,"$99,474,347 ",17%
10/1/2016,658469000,6%,"$2,801,995 ",Miss Peregrine's Home for Peculiar Children,"$71,339,157 ",11%
11/1/2016,959870000,8%,"$4,363,045 ",Doctor Strange,"$208,139,610 ",22%
12/1/2016,1190563000,10%,"$5,864,842 ",Rogue One: A Star Wars Story,"$408,235,850 ",34%
1/1/2017,957036000,34%,"$6,296,290 ",Rogue One: A Star Wars Story ,"$112,781,993 ",12%
2/1/2017,781894000,28%,"$5,506,294 ",The LEGO Batman Movie ,"$135,302,375 ",17%
3/1/2017,1048619000,38%,"$6,853,718 ",Beauty and the Beast ,"$335,567,333 ",32%
